id,age,action,action_detail,secs_elapsed,gender,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,action_type,device_type,country_destination
119.99334417689114,37.0,13.333435915521296,10.0,40447.4280941202,1,0,0,0,1,1,2,0,0,2,4,2,0
131.57470679415894,34.0,66.86609664293375,30.98024069576388,779545.2770349784,0,0,25,0,0,0,0,1,0,1,6,0,0
1.075752711974692,19.0,5.0,5.0,118.11393367355629,3,0,0,0,1,1,0,0,0,1,1,2,1
94.91521476306504,27.0,59.4119080135892,10.0,34008.55193641778,3,0,0,0,0,0,0,0,0,2,4,2,0
116.77236494082912,30.0,62.0,10.0,21052.374386064166,0,0,0,0,0,0,0,0,1,4,4,3,0
44.29639240165831,24.0,5.0,5.0,1129.883790816999,0,0,0,0,1,1,2,0,0,1,1,2,0
31.963621606757737,31.0,5.0,5.0,991.8742229244242,3,0,0,0,0,0,1,0,1,0,1,3,2
145.75895274696148,25.0,7.0,7.0,12656.546671082338,0,0,0,0,0,0,0,0,0,1,0,2,0
14.786555909838967,31.0,3.7680275242598227,3.655399031869113,441.1338003997057,0,0,0,0,2,1,2,0,1,0,1,3,0
84.05647375301628,40.445925239786725,24.0,10.0,8108.024950830391,3,0,0,0,0,0,0,0,1,2,4,3,0
4.0,34.9856125606021,8.0,8.0,6497.484014934458,0,0,0,0,1,1,2,0,1,0,3,3,0
116.03601865862004,32.0,55.0,10.0,751.8863378504863,1,0,25,0,0,0,0,1,2,3,4,0,0
121.0,32.0,5.0,5.0,46.07385401640244,3,0,0,0,0,0,1,0,0,1,1,2,0
96.0,37.0,5.0,5.0,194.71732575080856,3,0,0,0,5,1,3,0,2,3,1,2,4
122.54583791813356,26.0,24.0,10.0,1581.6767424591242,1,1,0,0,0,0,3,0,0,1,4,2,0
111.65382785152255,28.0,85.60917049936336,44.649854027978634,16616.67534111576,1,1,0,0,0,0,0,0,0,0,2,2,1
90.7918130699176,32.0,35.0,10.0,73843.6046673255,1,0,0,0,1,1,2,0,0,1,4,2,0
49.034754159463795,41.0,5.0,5.0,272553.7447461784,1,1,0,0,1,1,2,0,1,2,1,3,0
7.737234218116086,34.0,0.0,0.0,1963.4930133062207,1,0,0,0,0,0,0,0,1,4,0,5,1
46.932937535165564,73.81876485348151,0.0,0.0,497.34529566474276,1,0,0,0,0,0,1,0,1,2,0,3,1
50.09050389992133,65.23658527011044,35.906604679816716,26.514564001711992,349.74877079641686,0,0,0,0,1,1,0,0,1,4,0,3,2
4.0,35.0,2.0393379171206494,2.0,2501.0206360301577,0,0,0,0,1,1,2,0,1,0,2,3,0
52.84358379046595,26.0,5.0,5.0,2745.2968972642084,3,0,0,0,0,0,1,0,3,3,1,1,0
121.0,42.0,59.484136954120274,10.0,1169.9126614072168,1,1,0,0,0,0,1,0,0,1,4,2,2
84.61574753167245,28.0,19.061950692582368,10.0,35828.67505655209,1,1,0,0,0,0,3,0,0,0,4,2,0
88.27129574881063,36.0,39.0,6.0,8379.999045550949,3,0,0,0,0,0,0,0,0,2,3,1,1
147.00686986811314,38.824866463231885,5.0,4.9994081956300604,815.4233663619856,1,0,0,0,3,1,0,0,1,0,1,3,0
88.19901939509097,36.0,7.0,7.0,8325.931443268304,3,0,0,0,0,0,0,0,0,2,0,1,1
101.99826391615225,59.59664402211131,5.0,5.0,125.28230057221279,1,0,0,0,0,0,0,0,0,1,1,2,0
40.42025863095988,33.0,72.24905644533443,10.0,77759.19311387223,1,1,0,0,0,0,0,0,1,4,4,3,1
124.7297554684385,31.0,5.0,5.0,243.52290130609322,1,1,0,0,0,0,0,0,0,0,1,2,0
78.97281780598655,28.0,39.712206680193425,10.0,2303.4727649010792,0,1,12,0,4,2,0,2,0,1,4,6,0
135.0,33.0,72.12367224561903,10.0,3967.599292313704,1,0,0,0,0,0,0,0,0,0,4,2,0
110.06412576904687,32.0,7.0,7.0,25990.857361510345,0,1,0,5,0,0,0,0,1,0,0,3,0
86.21791167433769,31.0,28.0,19.0,4923.35418979347,1,0,0,0,0,0,1,0,0,2,0,2,0
16.8196351796783,36.0,8.0,8.0,3324.4448720901937,0,1,0,0,0,0,2,0,3,3,3,1,0
100.32848192579436,21.56676238119816,7.0,10.0,174.87402340175157,1,1,12,0,4,2,0,1,0,1,4,6,0
64.78707837730012,41.0,35.0,10.0,6061.728551424156,0,0,0,0,1,1,2,0,0,2,4,2,2
82.312329180538,26.0,8.0,8.0,1271.421621450822,1,0,0,0,0,0,1,0,3,3,3,1,0
96.57472994057211,28.0,39.0,6.0,27222.490265656448,0,1,0,0,0,0,0,0,3,3,3,1,0
113.89431053626019,30.0,5.0,5.0,1754.5405884753586,1,0,0,0,1,1,2,0,0,1,1,2,1
51.531145193602725,31.0,44.065509187398675,10.0,4633.563428754621,0,0,0,0,1,1,2,0,0,0,4,2,8
33.06646528764539,66.91122838474922,80.59090841709548,10.0,381.31961512529915,1,0,0,0,1,1,2,0,0,1,4,6,2
4.0,35.0,7.0,7.0,1438.8091791711688,0,0,0,0,1,1,2,0,1,0,0,3,0
90.88680590852964,32.0,35.0,10.0,8.011418722315096,1,0,0,0,1,1,2,0,0,1,4,2,0
6.9572941079833095,25.0,30.54570249817831,10.0,27436.637053129638,1,1,12,0,4,2,0,3,4,5,4,4,1
110.98261894522813,28.0,8.782433558477363,8.0,1424.47213232664,1,1,0,0,0,0,0,0,0,0,3,2,1
105.2039062172083,36.0,6.0,10.0,14520.82813835922,3,0,0,0,0,0,0,0,0,1,4,2,0
49.61409675520487,66.07687689137946,61.85614053890453,10.0,32864.13696582119,0,0,0,0,1,1,0,0,1,4,4,3,2
73.93218908759692,49.70008370509945,19.0,10.0,13711.229765661414,1,0,0,9,0,0,1,0,0,1,4,2,0
101.74306633942122,50.33683860844245,2.7319843024759485,2.140530139540376,315.6816080225251,1,0,0,0,0,0,0,0,0,1,2,2,0
96.0,37.0,6.0,6.0,68364.2730031337,3,0,0,0,5,1,3,0,2,3,0,2,4
91.10195925681005,38.0,5.0,5.0,18487.18049780533,3,0,0,0,1,1,2,0,0,1,0,2,4
84.0,39.666875400676034,77.14414310953458,40.06803271833569,17395.07205381471,3,0,0,0,0,0,0,0,1,2,7,3,0
117.78628136300672,31.0,6.0,10.0,1310.58683437289,3,0,0,0,0,0,1,0,0,1,4,2,0
1.044547773935525,19.0,5.0,5.0,89.45276404568472,3,0,0,0,1,1,0,0,0,1,1,2,1
122.86513166801016,26.0,17.12871343373645,14.319058914794752,2482.546276182737,1,1,0,0,0,0,3,0,0,1,0,2,0
49.79946798532081,66.27154622129892,13.005691187226375,11.913189091372335,159258.20589052106,0,0,0,0,1,1,0,0,1,4,0,3,2
135.0,33.0,81.43057499463706,10.0,50342.6976334928,1,0,0,0,0,0,0,0,0,0,4,2,0
100.50467502333616,53.176171772324984,24.0,27.44480200185607,11284.916928455203,1,0,0,0,0,0,0,0,0,1,2,2,0
15.0,31.0,5.0,5.0,23.23891920773344,0,0,0,0,2,1,2,0,1,0,1,3,0
102.50992052631756,42.617144194570095,7.0,10.0,15836.717219277845,1,0,12,0,4,2,0,3,4,5,4,4,1
136.9763339392101,34.0,1.0,1.0,4574.346796946718,0,0,0,0,0,0,1,0,1,0,1,3,1
70.86708208949119,63.49743417881363,29.5187108654223,19.957563745860313,1104.3027401143113,0,0,0,0,2,4,1,0,1,0,5,3,1
71.74233913417748,51.275638656843434,39.0,6.0,33161.58630675473,3,0,0,0,0,0,1,0,0,1,3,2,0
37.58323120222025,24.0,7.0,7.0,11265.003963051726,0,0,0,0,1,1,2,0,0,1,0,2,0
