id,age,action,action_detail,secs_elapsed,gender,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,action_type,device_type,Target
55.85205,28.626766,35.328583,9.33806,7224.324,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0
47.452538,29.272884,49.183064,8.545765,7371.7666,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0
63.267776,27.890285,28.115425,7.2756414,7126.0845,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0
38.0,30.0,55.0,10.0,7903.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0
45.96399,29.387386,48.804703,9.085424,7434.3423,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0
66.41066,45.733204,50.49802,8.982412,2971.4575,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,4.0,3.0,1.0
69.393585,47.098476,38.088795,6.145193,2881.567,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,4.0,1.0
31.696999,42.430946,14.431507,7.2672377,2931.066,3.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,4.0,1.0
113.0,24.0,107.0,10.0,3067.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,4.0,3.0,1.0
62.504715,40.789,39.05883,5.914675,2879.0667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,4.0,1.0
52.112434,51.389687,10.473022,9.532874,76446.69,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0
54.65109,51.228508,20.484737,9.361643,78893.74,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0
27.761204,52.935795,14.144663,7.051094,78190.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0
74.0,50.0,17.0,14.0,84137.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0
47.48604,51.68343,22.311245,9.157734,78279.61,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0
88.0,36.0,6.6185393,6.6185393,1501.9005,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
88.00001,36.000008,7.02219,10.093448,1484.6586,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
87.99999,36.0,5.747058,7.8966246,1502.5756,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
88.0,36.0,8.0,8.0,1463.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0
88.0,36.0,6.85198,10.542791,1465.0115,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
119.56238,64.9355,11.234589,8.181828,874.8661,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
110.232895,53.76712,12.022405,9.978877,885.6311,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
110.05625,62.709366,9.985056,8.450424,885.2467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
127.0,37.0,0.0,0.0,877.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
111.56502,55.489746,9.600252,8.785791,885.6567,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
63.51003,42.0,15.898001,5.78987,1240.3036,3.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,3.0,0.0
65.62963,42.000008,19.402584,7.0361624,1337.222,3.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,3.0,0.0
57.146423,42.0,24.755768,9.003285,1318.5574,3.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,1.0,2.0,4.0,3.0,0.0
