id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,action,action_type,action_detail,device_type,secs_elapsed
0,0,32,1,0,0,3,1,1,0,3,3,0,0,0,0,0,1355
0,0,32,1,0,0,3,1,1,0,3,3,0,1,1,1,0,1246
0,0,32,1,0,0,3,1,1,0,3,3,0,2,2,2,1,386
0,0,32,1,0,0,3,1,1,0,3,3,0,2,2,2,1,424
0,0,32,1,0,0,3,1,1,0,3,3,0,3,3,3,0,46262
1,3,19,0,0,0,1,1,0,0,0,1,1,4,1,4,2,176
1,3,19,0,0,0,1,1,0,0,0,1,1,5,1,5,2,85
1,3,19,0,0,0,1,1,0,0,0,1,1,6,0,6,2,149189
1,3,19,0,0,0,1,1,0,0,0,1,1,5,1,5,2,1702
1,3,19,0,0,0,1,1,0,0,0,1,1,7,0,7,2,16919
1,3,19,0,0,0,1,1,0,0,0,1,1,5,1,5,2,954
1,3,19,0,0,0,1,1,0,0,0,1,1,8,3,8,2,469
1,3,19,0,0,0,1,1,0,0,0,1,1,4,1,4,2,174
1,3,19,0,0,0,1,1,0,0,0,1,1,9,3,2,2,41819
1,3,19,0,0,0,1,1,0,0,0,1,1,8,3,8,2,1034
1,3,19,0,0,0,1,1,0,0,0,1,1,10,3,9,2,74
1,3,19,0,0,0,1,1,0,0,0,1,1,2,2,2,2,401
1,3,19,0,0,0,1,1,0,0,0,1,1,2,2,2,2,335
1,3,19,0,0,0,1,1,0,0,0,1,1,6,0,6,2,658848
1,3,19,0,0,0,1,1,0,0,0,1,1,11,4,10,2,1713
1,3,19,0,0,0,1,1,0,0,0,1,1,1,1,1,2,179
1,3,19,0,0,0,1,1,0,0,0,1,1,6,0,6,2,1912
1,3,19,0,0,0,1,1,0,0,0,1,1,5,1,5,2,158
1,3,19,0,0,0,1,1,0,0,0,1,1,7,0,7,2,12351
1,3,19,0,0,0,1,1,0,0,0,1,1,5,1,5,2,1168
1,3,19,0,0,0,1,1,0,0,0,1,1,12,4,10,2,73
1,3,19,0,0,0,1,1,0,0,0,1,1,6,0,6,2,14181
1,3,19,0,0,0,1,1,0,0,0,1,1,8,3,8,2,1106
1,3,19,0,0,0,1,1,0,0,0,1,1,4,1,4,2,390
1,3,19,0,0,0,1,1,0,0,0,1,1,9,3,2,2,49703
1,3,19,0,0,0,1,1,0,0,0,1,1,8,3,8,2,2025
1,3,19,0,0,0,1,1,0,0,0,1,1,10,3,9,2,37
1,3,19,0,0,0,1,1,0,0,0,1,1,2,2,2,2,845
1,3,19,0,0,0,1,1,0,0,0,1,1,6,0,6,2,171839
1,3,19,0,0,0,1,1,0,0,0,1,1,5,1,5,2,1123
1,3,19,0,0,0,1,1,0,0,0,1,1,7,0,7,2,24547
1,3,19,0,0,0,1,1,0,0,0,1,1,5,1,5,2,976
1,3,19,0,0,0,1,1,0,0,0,1,1,8,3,8,2,752
2,0,32,1,0,0,0,0,0,0,3,3,0,2,2,2,1,488
2,0,32,1,0,0,0,0,0,0,3,3,0,0,0,0,0,1136
2,0,32,1,0,0,0,0,0,0,3,3,0,13,0,11,0,387
2,0,32,1,0,0,0,0,0,0,3,3,0,14,2,12,0,18067
2,0,32,1,0,0,0,0,0,0,3,3,0,1,1,1,0,964
2,0,32,1,0,0,0,0,0,0,3,3,0,15,4,10,0,3664
2,0,32,1,0,0,0,0,0,0,3,3,0,3,3,3,0,342501
3,1,25,0,0,0,1,1,1,0,0,1,0,6,4,10,2,1687
3,1,25,0,0,0,1,1,1,0,0,1,0,16,5,13,2,10661
3,1,25,0,0,0,1,1,1,0,0,1,0,17,0,14,2,2027
3,1,25,0,0,0,1,1,1,0,0,1,0,1,1,1,2,3979
3,1,25,0,0,0,1,1,1,0,0,1,0,18,2,15,2,200691
3,1,25,0,0,0,1,1,1,0,0,1,0,3,3,3,0,65855
3,1,25,0,0,0,1,1,1,0,0,1,0,14,2,12,0,25014
3,1,25,0,0,0,1,1,1,0,0,1,0,0,0,0,0,668
3,1,25,0,0,0,1,1,1,0,0,1,0,1,1,1,0,2098
3,1,25,0,0,0,1,1,1,0,0,1,0,19,4,10,2,305074
3,1,25,0,0,0,1,1,1,0,0,1,0,20,4,10,2,1665
3,1,25,0,0,0,1,1,1,0,0,1,0,21,4,10,2,780
3,1,25,0,0,0,1,1,1,0,0,1,0,22,4,10,2,124286
3,1,25,0,0,0,1,1,1,0,0,1,0,23,4,10,2,40386
3,1,25,0,0,0,1,1,1,0,0,1,0,24,4,10,2,797
4,0,35,0,0,0,1,1,2,0,1,0,0,7,0,7,3,1593
4,0,35,0,0,0,1,1,2,0,1,0,0,5,1,5,3,1289
4,0,35,0,0,0,1,1,2,0,1,0,0,6,0,6,3,29100
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,719
4,0,35,0,0,0,1,1,2,0,1,0,0,5,1,5,3,1194
4,0,35,0,0,0,1,1,2,0,1,0,0,7,0,7,3,684
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,128174
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,3811
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,211343
4,0,35,0,0,0,1,1,2,0,1,0,0,2,2,2,3,1532
4,0,35,0,0,0,1,1,2,0,1,0,0,10,3,9,3,28
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,170314
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,4580
4,0,35,0,0,0,1,1,2,0,1,0,0,5,1,5,3,883
4,0,35,0,0,0,1,1,2,0,1,0,0,7,0,7,3,20997
4,0,35,0,0,0,1,1,2,0,1,0,0,11,4,10,3,4869
4,0,35,0,0,0,1,1,2,0,1,0,0,17,0,14,3,625
4,0,35,0,0,0,1,1,2,0,1,0,0,6,0,16,3,11367
4,0,35,0,0,0,1,1,2,0,1,0,0,0,0,0,3,538
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,2374
4,0,35,0,0,0,1,1,2,0,1,0,0,13,0,11,3,15447
4,0,35,0,0,0,1,1,2,0,1,0,0,3,3,3,3,153373
4,0,35,0,0,0,1,1,2,0,1,0,0,1,1,1,3,7954
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,390689
4,0,35,0,0,0,1,1,2,0,1,0,0,2,2,2,3,905
4,0,35,0,0,0,1,1,2,0,1,0,0,10,3,9,3,23
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,1330
4,0,35,0,0,0,1,1,2,0,1,0,0,5,1,5,3,770
4,0,35,0,0,0,1,1,2,0,1,0,0,25,2,17,3,1219
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,1717
4,0,35,0,0,0,1,1,2,0,1,0,0,7,0,7,3,28137
4,0,35,0,0,0,1,1,2,0,1,0,0,7,0,7,3,1694
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,11981
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,8818
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,2297
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,2816
4,0,35,0,0,0,1,1,2,0,1,0,0,9,3,2,3,5355
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,573
4,0,35,0,0,0,1,1,2,0,1,0,0,26,0,18,3,41600
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,4987
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,669045
4,0,35,0,0,0,1,1,2,0,1,0,0,2,2,2,3,693
4,0,35,0,0,0,1,1,2,0,1,0,0,10,3,9,3,8
4,0,35,0,0,0,1,1,2,0,1,0,0,4,1,4,3,193
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,1690
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,4658
4,0,35,0,0,0,1,1,2,0,1,0,0,8,3,8,3,720
4,0,35,0,0,0,1,1,2,0,1,0,0,5,1,5,3,821
5,1,60,0,0,0,6,1,2,0,3,3,0,7,0,7,1,1639
5,1,60,0,0,0,6,1,2,0,3,3,0,1,1,1,1,603
5,1,60,0,0,0,6,1,2,0,3,3,0,27,4,10,1,32109
5,1,60,0,0,0,6,1,2,0,3,3,0,0,0,0,1,1385
5,1,60,0,0,0,6,1,2,0,3,3,0,3,3,3,1,1682
5,1,60,0,0,0,6,1,2,0,3,3,0,27,4,10,1,155111
